Alanine,Arginine,Asparagine,Aspartate,Cysteine,Glutamate,Glutamine,Glycine,Histidine,Leucine,Isoleucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,Cystine,AMP,Adenosine,Adenine,GMP,Cytidine,Cytosine,Thymidine,Thymine,UMP,Uracil,IDP,IMP,Inosine,Hypoxanthine,Xanthine,Allantoate,(S)(+)-Allantoin,5-Hydroxyisourate,Urate,Pyridoxal,4-Pyridoxate,Pyridoxamine 5'-phosphate,Nicotinamide,Phosphate,Diphosphate,D-Glucose,D-Hexose 6-phosphate,D-Glyceraldehyde 3-phosphate,"Glyceric acid 1,3-biphosphate",2-Phospho-D-glyceric acid,Pyruvate,Lactate,Maltose,Mannitol,D-Ribose,D-Arabitol,Citrate,2-Oxoglutarate,2-Oxoglutaramate,Succinate,Fumarate,Malate,2-Hydroxyglutarate,alpha-D-Ribose 1-phosphate,Glutathione,Glutathione disulfide,5-Oxoproline,S-Glutathionyl-L-cysteine,Dehydroascorbate,gamma-Glutamyl-Se-methylselenocysteine,gamma-L-Glutamyl-D-alanine,gamma-Glutamyl-gamma-aminobutyrate,(5-L-Glutamyl)-L-glutamine,L-Homocysteine,Dimethylglycine,Ornithine,L-Citrulline,Putrescine,Spermidine,Spermine,Carnosine,5-Guanidino-2-oxopentanoate,Creatine,Creatinine,4-Acetamidobutanoate,Guanidinoacetate,trans-4-Hydroxy-L-proline,Pantothenate,Taurine,Hypotaurine,L-Methionine S-oxide,5-Hydroxyindoleacetate,3-Methyleneoxindole,Indole,Indole-3-acetaldehyde,Indole-3-acetate,Indoxyl,6-Hydroxykynurenic acid,kynurenine,L-Formylkynurenine,Anthranilate,Picolinic acid,L-Adrenaline,Serotonin,Glycerol 3-phosphate,Ethanolamine phosphate,Choline,L-Carnitine,CAR 3:0,CAR 4:0,CAR 4:0;O,CAR 5:0,CAR 5:0;O,CAR 6:0,CAR 6:1;O2,CAR 8:0,CAR 8:1,CAR 10:0,CAR 10:1,CAR 12:0,CAR 12:1,CAR 14:0,CAR 14:1,CAR 16:0,CAR 16:1,CAR 18:0,CAR 18:1,Linoleoyl-CoA,Butanoic acid,Heptanoic acid,Octanoic acid,Nonanoic acid ,Decanoic acid ,Dodecanoic acid,Tetradecanoic acid,Hexadecanoic acid,Stearic acid,Myristoleic acid,Hexadecenoic acid,Oleic acid,Linoleate,Linolenic acid,Arachidonic acid,Eicosapentaenoic acid,Docosahexaenoic acid,Dodecanedioic acid,Docosapentaenoic acid,Cholic acid,Glycocholate,Taurocholate,Taurochenodeoxycholate,Deoxycholic acid,13(S)-HODE,9(S)-HODE,Triacanthine,2-Methyleneglutarate,6-Pyruvoyltetrahydropterin,6-Lactoyltetrahydropterin,4-Aminobenzoate,Leucocyanidin,Methylenediurea,beta-Butoxyethyl nicotinate,3-Oxalomalate,cis-p-Coumarate,N6-Methyl-L-lysine,"D-Glucono-1,5-lactone",Catechin,Glucosinolate,Pyridoxamine,N-Amidino-L-aspartate,N-Acyl-D-glutamate,6-Carboxyhexanoate,N-Acetylmethionine,"7,8-Dihydroxycoumarin",10-Hydroxydecanoic acid,trans-Homoaconitate,2-Oxo-7-methylthioheptanoic acid,L-Homocitrulline,Homomethionine,TMAO,Betaine,3-Indolepropionic acid,Indole-3-carbinol
24.89465149,22.2184441,21.61218819,20.1972995,13.7957353,20.35516503,24.90497141,20.81705391,20.46929999,26.747815,28.54523245,24.03286574,27.897193,26.89755483,25.70765442,19.68532028,21.40915731,27.23824642,27.24915213,25.41469107,16.16529959,16.51720802,15.72318096,20.5379511,0,21.232685,19.30023859,17.85008304,19.31104093,0,21.0386337,22.82552385,13.00369358,21.07050948,21.74598487,22.22357311,18.46707613,20.18325373,20.60764728,23.88676427,22.4014897,19.53579175,19.72388755,22.50777263,26.14857202,21.56300537,27.86511761,17.62746264,26.66303968,14.69881317,17.05720909,22.77823779,28.5792022,16.08756643,20.39811947,22.1007358,19.33528785,26.06628773,20.41306695,18.24594259,26.46453536,19.84590347,24.43486648,21.89068028,18.74635358,14.03411115,20.2159524,22.66294061,19.22255909,20.62989641,16.00895378,20.72866126,16.14493701,18.91028553,13.84499992,21.56717253,21.49543347,22.65206353,18.88189065,20.90984549,14.27830425,17.32708769,16.84799935,24.49209835,20.73394958,20.9694336,19.07745728,21.10501905,21.03905358,21.53956258,15.73062934,19.76203485,20.08658461,17.89685861,15.0540107,17.45198378,20.2183764,21.53530196,14.39967847,18.3188164,16.50542391,21.38310676,17.56150425,16.86909978,17.26799365,20.27926144,18.93961652,24.17981124,25.20672506,24.482553,24.85793768,20.24513718,23.19631576,19.29911856,21.80919858,16.77056066,19.61843031,17.93909707,19.21919452,17.36827625,19.03028456,16.97526583,18.96709677,18.17200747,18.22533455,16.43976597,16.6347118,18.47902235,18.32201615,17.81537079,18.89229081,20.76771247,23.65032483,25.76522379,24.81921135,24.93755598,27.54367628,26.30320289,20.62693619,23.14380607,26.31975537,26.50279835,23.42645276,24.5600722,20.58050517,23.49817321,18.18441533,21.47894239,16.65620138,12.89784546,22.40707245,18.74158878,19.42894283,19.78308456,17.97644106,26.31594207,23.54892007,17.69122553,16.8152582,21.38310676,22.69633912,17.98613647,17.0170041,18.80042914,19.55464506,19.43457326,21.80150747,21.49635546,18.74096326,20.23379753,17.93896503,15.35380157,13.53515385,17.8423442,16.42547819,19.27444641,18.01669405,20.49130803,18.44830186,18.42247135,20.97806312,25.81288082,21.01971712,13.80298171
24.7146098,19.14161324,21.7310853,19.77902677,13.85516048,20.43873907,24.73814428,21.03227716,20.07675298,27.1568088,28.65513533,23.67544551,26.96411799,27.29277284,25.42398648,19.25954789,21.2483822,27.05766488,26.76556424,25.54052654,16.10909606,18.8106187,17.0919002,21.49831067,16.57383946,20.54130935,18.62823548,16.43890553,18.16415565,15.84340585,21.262521,22.31163885,14.19344836,19.99841414,24.21053766,23.25333882,18.86137168,19.90017546,21.15776386,23.68882133,21.52102192,19.64886487,19.50000934,23.47438885,25.33242345,20.25432742,28.20447264,18.12230731,26.34000601,14.05120894,16.38353555,22.21979984,28.41119971,20.13093122,20.36896145,22.5165568,19.00762137,25.32635127,18.44622715,18.33451772,26.13380057,19.39843684,24.0099522,21.81970861,19.88119762,0,21.80960761,22.71214345,19.35661101,20.5235007,17.26296653,19.51640026,16.71870678,17.60670883,14.04891254,21.64882362,22.42854241,22.34003833,18.46456968,22.39092438,18.95487503,14.27612441,16.9677216,24.59318314,20.23050601,20.92005404,17.59940439,20.83546294,20.94234483,21.22255319,0,18.76065823,19.40065016,17.60172727,15.20754821,22.02853439,19.6518663,19.94035805,16.64630556,18.73603191,17.21503998,20.71157204,18.0403807,13.8206776,22.01381369,20.57782986,19.46388154,24.09688892,24.68037439,24.31289216,24.2399885,20.04494903,23.12322565,18.33858406,21.51531003,18.41666148,18.99379254,17.68972504,18.25861664,16.89031178,19.1500745,17.45669932,18.11638458,17.58607743,17.58834865,15.77272695,16.20583142,18.22085536,17.54200407,18.2041938,18.58043156,20.81802117,23.18110432,24.68140373,23.78337567,24.06659944,27.09227603,25.83756516,19.89015738,23.1286654,25.43248376,25.54460601,22.21645606,23.76549503,20.00020086,23.09826811,17.66927956,20.1556953,16.65374078,12.73999151,21.755659,17.40817215,18.33199283,18.06110218,17.26968373,25.93158437,23.86252736,17.3394064,16.59668478,20.71157204,24.07128698,17.84613922,16.66765212,18.60359375,18.34041518,19.15169542,21.98651669,22.62575142,18.77005408,19.93133339,17.62947758,13.88445674,18.66199376,17.81926851,16.07250948,18.01865117,18.19788858,19.63014268,18.74804868,18.67177255,19.96659135,25.59724845,19.3019943,0
24.94955998,22.11404762,21.52746794,19.9560301,13.53527538,19.99884657,24.9226886,20.78266794,20.860427,27.00772894,28.74925578,24.10819381,27.70661846,27.06859762,25.799882,19.48435286,20.89042683,27.23086728,27.06542592,25.40334232,16.40710176,17.49027115,17.33906708,20.38278337,15.85096815,21.39378845,19.51924655,18.45463265,20.09958539,15.05010372,21.18450552,22.82057223,14.74682919,20.51164457,23.64058575,23.07900276,18.59243514,20.37433588,20.38125777,23.96928911,21.8187378,19.73671572,19.08306374,23.22353806,25.85833116,21.56390706,27.52732807,17.4871099,26.21043616,14.71708732,16.67279823,22.89316764,28.50998354,14.8591465,20.13547383,21.70870587,18.83402038,25.91463219,20.50757207,18.29485405,25.97259117,19.91165823,24.29415214,21.8844914,18.98596976,15.83001996,20.67354545,22.66864157,19.56700166,21.43933581,16.60193034,20.80679267,15.69283342,19.12913709,15.74779962,21.34404445,21.88581961,22.17511488,19.16859623,21.75520422,17.41021945,14.95374176,17.29149449,24.59253887,20.51598851,19.88425699,19.02418196,21.23060745,21.20326077,21.1374715,15.61519856,19.05319143,20.05539631,18.13788671,15.86884666,20.65754961,19.69375918,21.28585258,15.8211013,18.45831048,17.00560262,21.18200086,17.71460105,17.26098383,20.49657978,20.39162225,19.01751528,24.33627561,24.79750871,24.33752425,24.31386168,19.97492567,22.68573155,19.47949214,20.73486588,17.90071943,18.1640083,17.50636182,17.52206807,16.8732879,17.73896966,16.93000962,17.54773804,17.30783228,18.14359248,15.69506513,16.83692563,17.86640358,17.29652193,17.47242113,17.81572101,20.39379369,22.74300651,23.94000356,23.38031243,23.87965737,27.21680525,25.9658072,19.77778987,22.85640634,25.69938783,25.83829712,22.64095472,24.22622982,20.17626204,23.07606628,17.65152825,20.56423882,17.7666389,14.69978932,21.54832806,17.46100774,18.3806513,18.47452588,17.17286695,26.15908962,23.08432052,17.53792362,17.15887591,21.18200086,22.83621817,17.97311997,16.89243609,18.86825286,19.31739053,20.16558053,21.36165629,22.03367068,18.79975908,20.42748575,17.48007227,15.29408222,17.25249913,17.77369943,15.91214086,18.51187617,17.60484276,20.42107143,18.63667772,18.47365423,20.304827,26.07594703,21.05672519,12.9155263
24.87276274,16.47035701,21.98700581,21.5433519,13.34568245,22.26458033,24.86739088,20.6247446,20.43313714,26.85462503,28.69124275,23.66749047,27.56874769,27.23268702,25.74728542,19.2418575,21.16877677,26.8568987,27.03372382,25.03554623,16.05820317,20.43576791,16.19617946,20.18539934,19.13753404,20.1121964,18.29751637,17.36132699,18.74673736,18.15493675,21.51168848,22.35200165,19.21399651,19.27004205,22.64678084,22.68322145,19.13584704,19.94247298,21.13151851,23.41619409,21.64798359,19.41087985,19.3651498,24.15196361,25.7023292,20.82635685,27.46918692,19.93735514,25.9927488,19.92032378,18.99694511,21.8345428,28.10885256,20.17140039,20.2546296,21.75031526,19.24561073,24.93868067,18.81722727,18.78717243,25.76181986,19.90669539,24.45104072,22.07495121,20.83649422,14.52967456,21.78712619,23.15300582,19.43335927,20.17207463,17.59811067,18.87853593,17.09384049,17.36498102,15.33374936,21.63831791,22.50462965,22.24118629,18.36983161,23.35353925,17.87621116,15.21443297,17.06535302,25.19065236,20.42237998,20.85313515,19.77253044,21.41524249,21.17079978,22.41802527,16.84158892,19.23032541,19.96561521,18.22849931,15.09461381,23.60167933,20.19804091,20.90786841,15.24008322,18.37890866,16.6024959,20.84231965,17.37898907,17.20502001,23.57003993,21.74654876,20.7326171,24.32363735,25.22364577,24.05351239,23.63937063,20.07147153,23.22174257,18.69011736,20.42305331,18.10173977,18.15049601,17.80653074,17.25978004,16.65543289,17.39947821,15.95196765,17.11586664,16.33729087,17.67037963,15.06288938,16.26658526,17.70535565,17.25785739,18.25274396,19.36405341,21.25857293,22.87754008,24.28075414,24.45438333,25.08421811,27.48813901,26.2507974,21.28808597,24.45322811,26.5540079,27.34890129,24.47309152,24.62664265,20.70889107,23.80912055,17.72850515,21.05320403,16.46072785,13.2313712,21.75648913,17.88321604,18.30757439,20.57703137,18.17638745,26.38803291,23.18930005,17.25141769,16.9990531,20.84231965,24.07224834,18.65355886,16.25203707,19.29833559,19.11998469,19.37561009,21.29814537,21.22720932,20.24176558,19.83022737,18.33496283,13.01872179,20.42749598,18.20049156,16.17027718,18.16856929,17.81815773,19.75450914,18.38998417,18.02451205,20.42318569,26.1432128,20.96623928,13.03921209
24.48756756,21.70526747,21.34657379,19.83183606,13.51963625,19.57075998,23.89190336,20.80669829,20.11082099,27.39898502,28.79574388,23.837347,27.85390024,27.5888563,25.8639499,19.75022283,21.57806628,27.72171438,27.31341258,26.13441882,16.13249973,16.50996052,13.66788769,20.98732162,14.15220561,21.19897732,19.46447196,17.58759441,19.2358997,14.20089861,21.24818876,22.6496191,13.27772328,20.17752173,22.74405098,22.46481967,18.88369932,19.75122694,20.13374428,23.38567088,22.12842706,18.64209049,19.62808593,22.21217545,26.05011458,21.13257943,26.97404877,16.77010894,26.39544897,0,16.76509181,22.26430371,28.03403775,15.32449702,20.65118399,21.28597108,18.74641591,25.68578589,19.61576612,17.7740921,25.72033469,18.9848412,23.8033049,21.82461308,19.42167861,0,20.12588764,21.98922955,18.70554127,20.48472556,17.57654339,20.45935957,16.51238555,18.05708214,0,21.80740996,21.97116883,21.91114069,18.78161905,22.0818634,16.69517391,14.71488943,17.45453225,24.69466889,20.25138417,21.23871436,18.30772112,20.87883674,21.02170047,20.22687195,14.94590101,18.89123191,19.49150866,17.35641758,15.32846457,18.52939242,19.85577337,20.58698726,17.0193301,19.21450174,17.17571522,20.09746893,19.16284613,16.52438867,18.52418969,19.34858337,18.80957346,24.61498886,24.69702805,24.19576876,23.16366104,19.59505711,23.17444998,18.8275567,19.59373943,17.21319917,17.77586101,17.61978295,17.60603645,17.36337336,17.71768981,17.05301373,17.19056741,16.86086874,17.0849433,15.24918754,16.05509175,17.13843181,16.89000296,16.55521821,18.45020844,21.08036214,23.2823573,24.89965153,24.06392422,24.10107601,27.14153362,26.23602779,20.10167181,22.54115311,25.57490532,25.92771981,23.03994248,23.9287626,20.63064574,23.58356062,18.07543214,20.82911648,16.91415152,15.17387229,22.3086776,18.19105921,18.43646349,19.26851916,18.01691708,26.29331975,22.58495126,17.47157202,15.31419377,20.09746893,22.15792327,18.06798048,16.93265307,18.20156878,19.70919154,18.99750754,21.30573614,21.67328406,19.53678221,20.42377044,17.73054974,0,14.40958982,17.8215311,15.89945134,18.5890659,17.91900878,20.26921459,19.32866616,19.03619508,19.26703124,25.57290769,19.52673503,0
25.3816185,21.92268529,23.21840848,20.83856919,13.82177398,21.21390992,25.10124432,21.20338923,21.10879306,27.20798708,29.2502108,24.75923067,28.31987609,27.32134359,25.65782327,20.09533649,21.48647662,27.13215238,26.909604,26.25430545,16.64458862,13.61321393,18.02093112,20.95989018,15.70222681,21.89130831,20.03158275,18.77690847,20.29298323,0,21.77064494,23.12401589,12.78708632,20.55787593,23.10943981,23.02625106,19.37454072,21.45034691,21.40067205,24.95450895,22.16057222,20.52374284,18.23384433,24.90832678,26.42903437,22.55879741,27.50288133,17.28183949,26.00253789,0,16.82151242,22.93707617,28.43812886,15.76435329,20.05704511,21.7841176,19.05499639,26.06269687,21.22789793,17.74893314,25.98445634,20.26065312,25.05668406,21.97690389,18.82016026,16.60667991,20.1905662,23.50196483,19.58860668,21.75739367,17.8340883,20.99107752,16.42127591,19.12210505,16.18696536,21.39761092,22.7638739,22.44191759,19.11015192,21.64756163,17.48870316,15.01196973,17.87862573,24.62542966,20.5024521,21.13238049,19.57574789,21.16618822,20.7059833,22.04671337,16.01159854,19.66208071,20.54352277,18.59890303,15.17359907,18.8517155,20.20897255,20.79237885,15.878003,18.49126594,16.68322766,21.42019257,18.50887412,18.270236,18.72541952,20.18215184,19.06499268,25.00170588,24.50859254,23.89954418,24.24113558,20.38505349,22.87370412,19.623067,20.75717675,16.84517149,17.85868526,17.26765539,16.75794987,16.57840218,17.09359294,16.07481046,17.38414292,16.12513091,17.41583253,15.28044456,16.21118487,17.33705563,16.89917988,18.40079607,18.60918956,20.60357111,23.18131713,24.02993178,22.43589734,23.51350316,27.33470931,25.78513142,19.01545317,22.80870951,25.65535867,26.10129661,22.47197804,24.44635937,20.52858193,23.0963933,18.17731247,20.56090933,18.20710491,13.29562546,22.64092075,18.06104943,18.87787423,18.17366738,16.81941822,26.53259024,23.13757094,18.66037897,17.15092732,21.42019257,22.5393716,17.97911813,17.58629005,19.31836848,19.31782109,20.63419686,21.47361063,21.56023113,18.96331663,20.7860566,19.66536021,17.28478796,14.86824382,18.64886311,16.1108503,18.12966538,16.85306584,20.85256761,19.23252633,19.0882603,20.57871266,26.33992618,22.13325606,12.98358904
24.975309,20.75315145,21.8928322,20.22082348,13.36618559,20.6951977,24.69104727,20.6708801,20.3960131,26.60206905,28.01781947,23.59170666,26.90815332,26.84734998,24.93645153,19.58076461,20.76959252,27.44966697,26.53807152,25.66155226,16.30187125,17.09917313,17.5208872,18.80061557,16.54964932,21.62922275,19.81944628,17.95730613,19.67537304,15.30438698,20.91531338,22.1166955,13.72866458,20.64422685,23.02549529,22.71128236,18.73753784,20.63009556,20.25358438,24.15301038,22.1388383,19.73151129,18.70589221,22.89182356,25.50054344,20.47487142,27.47656932,18.11666886,26.45379967,0,16.33781351,22.670755,28.42082328,17.65714396,19.86704944,21.47623397,18.93578949,26.01992351,20.48329818,18.04950293,26.0969154,19.80011153,24.40299739,21.66113483,18.94333612,15.29163838,21.3303983,23.15435057,19.52983467,21.15070487,17.31352966,21.08112516,16.6905846,18.81624619,16.37909064,21.25548275,21.7138727,22.64245477,18.65566698,21.54962112,18.0683007,16.72475364,17.66887114,24.41259756,20.86542896,20.71149726,19.1745722,21.18025034,21.60977752,21.29141411,15.85518481,18.65184353,20.87131345,18.99374832,18.11677037,20.03649427,19.95472029,21.0729595,15.24190869,18.93180227,16.57466743,21.09026493,17.63120548,17.58465427,19.87283116,20.43765354,18.54365869,24.5625128,24.90775122,23.90385786,24.69946544,20.3150998,22.13170156,18.93471598,21.46104673,18.61314917,18.75949488,18.30584355,18.0495827,17.44090971,18.11232241,17.20363477,18.54223462,18.31180595,18.73488159,16.36177247,16.81409424,18.70583147,17.6391711,17.35620263,18.1564584,20.86270091,22.93838774,24.47334426,24.87006143,26.28034666,28.05748722,26.47666233,23.6727649,26.70229458,26.9338064,26.07792444,22.97902791,24.97911093,20.8732556,24.24979726,18.39891066,21.66402404,19.72011063,14.10844278,20.70601872,17.03712865,18.43258268,18.62009809,18.85184052,25.9872983,22.85505,17.99292728,16.71916151,21.09026493,23.58512175,17.83314952,16.82238411,18.86378398,18.36992956,19.53456886,21.10450214,21.55794836,18.70841035,19.92955172,17.9103031,16.25244369,16.71100817,19.10599289,16.66849723,20.32573366,17.33975433,20.17191343,18.92569351,18.78777505,21.36801401,25.752421,21.3683354,12.87736867
25.16344565,20.00982315,22.65956676,21.90110148,14.44889063,21.93977504,24.81403804,20.89110431,20.67296997,27.15014247,28.47072312,24.11260201,27.38799117,27.1143433,25.29621772,19.64259116,21.26233863,27.18884232,27.22599083,25.68907808,16.27492408,20.48072118,19.45997586,20.06437438,18.97612776,21.37986061,19.36625817,18.80042914,20.51578741,17.59347866,21.31074978,22.42486057,17.40195445,21.13776917,23.82269228,23.07409049,19.4520059,20.9952351,20.75076995,23.8879813,21.95738514,20.05622624,18.5382003,23.42994212,25.95921433,21.23066725,27.85683816,19.14554412,26.55275863,0,17.63788428,22.90750703,28.67214034,19.04715853,20.34732832,22.21528859,19.67585197,25.85436728,20.61045987,18.96958888,26.23757868,20.45795193,24.7591006,21.80141432,19.64060859,14.44138803,21.89636936,23.44467787,20.0279087,21.43290223,16.7324192,20.34947346,17.08960565,18.24041869,15.86976251,21.15480142,22.69906045,22.83937047,19.50034397,23.12689932,19.87978963,15.69661441,17.83492775,24.90756649,20.63637504,20.80155128,19.50359285,21.34037878,21.60227931,21.7495409,16.86100207,19.15677439,20.90111069,18.88041757,18.10456292,23.3483301,20.26625926,21.07761048,15.72725573,19.01792571,17.35908035,21.39790595,17.41581603,17.72029771,23.30426455,21.12777775,19.84235802,24.55813451,24.98412232,24.17560703,24.76179047,20.0968927,22.24895658,19.40726776,21.60942811,18.70622619,19.39651489,18.2235304,18.43189338,16.87084631,18.01292456,17.01997072,18.23051774,17.59293145,18.32476508,15.97924654,16.62965544,18.3653442,17.56785212,18.25716222,18.88029798,21.0459869,22.98854133,24.72953149,25.10376487,25.69182415,27.55799968,26.23183346,22.39533879,25.40229287,26.51260688,26.46443144,23.42389748,24.88020871,20.74658813,23.82394512,18.23578053,21.5207539,20.93291326,14.37102788,21.78829935,17.85453971,19.71189883,18.90500498,18.57213767,26.00784676,23.51969324,18.4325052,17.02068701,21.39790595,24.31546021,18.63454874,17.05320469,19.31976913,18.52647249,20.01461715,21.82129052,21.50013435,18.91507992,20.29592808,18.441157,16.32389918,20.1602112,19.16637397,16.18464293,20.30773335,17.82185493,20.31005467,18.63513355,18.07731645,21.36387755,25.54386035,21.52683626,13.11463373
25.1484836,21.00673697,22.07318872,20.56498955,13.39981196,20.24611313,24.65451,20.57665687,20.72138461,26.59886325,28.24387025,23.66305824,27.51732209,26.85148186,25.31896113,19.55607191,20.84256135,26.76255146,26.57380892,25.21101873,15.9912561,19.01466345,17.76828773,18.80728573,17.56658924,21.05768242,19.08418814,18.42988889,19.91481138,16.35708803,20.38091441,22.16207503,15.74654056,20.41590988,21.6186996,21.49395803,18.82474747,20.41706135,19.5263101,23.63657561,22.24620971,19.95971192,18.90306393,22.87547546,25.75315841,20.76611395,27.43435822,18.40954425,26.9593209,0,16.81027037,22.68870642,28.32517655,18.02653965,20.12590025,21.57166007,18.40368613,26.17138476,20.22850166,18.51796536,25.70858293,19.86813076,24.63482606,21.65445073,19.21484558,16.09011242,21.72069099,23.21897393,19.88964952,21.09791317,17.15755418,20.8968224,17.07857823,19.35236677,15.64176954,20.92977996,21.98503862,21.7377697,18.72851844,21.64941846,18.0923339,15.7274153,17.61208377,24.32009366,20.26586796,21.85557037,18.78506607,20.8486069,20.83855226,20.87851947,16.08567992,18.44900352,20.59932448,18.70832952,17.81524568,22.19789547,20.57432281,20.99836937,14.93253773,18.25654503,16.99612036,21.5771176,17.80670694,17.1403505,22.13718035,20.62105829,19.20369212,24.19792643,24.55216735,23.98343317,24.96182567,20.24917828,22.82278573,18.95015432,22.34121448,18.57845378,19.63283017,18.60820067,18.46264605,17.46083981,19.26518465,17.90696104,18.52411315,17.64641808,18.09972278,16.35347423,16.06427964,18.82670985,17.57568696,17.53364152,18.41296259,20.36832421,22.79506007,25.17637615,23.90832087,24.02249659,27.2849651,26.05993149,19.87401776,22.08273931,25.86761214,25.9156215,22.47867163,24.10545562,19.73304512,23.23427394,18.92502121,21.5477978,23.0659157,14.878003,20.70014758,17.04573833,19.41201363,18.23478937,17.82814268,26.23100925,23.03499823,18.2604326,17.07872415,21.5771176,23.8945396,17.32085342,16.45853478,19.06693532,17.95949827,19.76314427,21.35850043,21.52541758,18.47284947,19.90062804,17.96649982,14.95914164,18.9013118,18.37472961,16.06071704,19.6586822,17.27418703,20.00472522,18.78249598,18.20731943,20.77205759,25.66415149,21.47679712,12.76535036
