"measure","xvar","r2","correlation","p.value.xvar","padj"
"4-Acetamidobutanoate","Turicibacterales.Turicibacteraceae.Turicibacter",0.135315072,0.422550965,0.056353514,0.128840997
"4-Acetamidobutanoate","Bacteroidales.S24.7.unclassified",0.10431032,0.386127964,0.083827653,0.157966684
"4-Acetamidobutanoate","Clostridiales.Mogibacteriaceae.unclassified",0.094905452,-0.374379726,0.094521227,0.167634791
"4-Acetamidobutanoate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.068442166,-0.339146071,0.132585666,0.211036492
"Guanidinoacetate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.052485789,0.316008702,0.16285727,0.249271332
"Pantothenate","Clostridiales.Ruminococcaceae.unclassified",0.220934319,-0.509791725,0.018235034,0.066389687
"Pantothenate","Turicibacterales.Turicibacteraceae.Turicibacter",0.076523056,-0.350281178,0.119543139,0.198356978
"Pantothenate","Clostridiales.Ruminococcaceae.Ruminococcus",0.050211662,0.312571718,0.167730916,0.255687371
"Taurine","Bacteroidales.S24.7.unclassified",0.534261711,-0.746691788,0.000100979,0.005780942
"Taurine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.436104822,0.681395319,0.000671083,0.010941576
"Hypotaurine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.099785721,0.380521267,0.088812665,0.162462193
"L-Methionine S-oxide","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.538498699,-0.749382255,9.23e-05,0.005780942
"Indole","Lactobacillales.Lactobacillaceae.Lactobacillus",0.292176978,0.572335678,0.006702464,0.036205181
"Indole","Clostridiales.Mogibacteriaceae.unclassified",0.179005239,-0.469100178,0.031933139,0.084330474
"Indole","Clostridiales.Ruminococcaceae.unclassified",0.161628695,-0.451162121,0.040090351,0.098881023
"Indole","Bacteroidales.S24.7.unclassified",0.125119686,0.410930288,0.064237345,0.134575444
"Indole","Turicibacterales.Turicibacteraceae.Turicibacter",0.11473359,0.398744166,0.073374303,0.147680897
"Indole","Clostridiales.Lachnospiraceae.unclassified.1",0.041416417,-0.298907338,0.188099043,0.27990929
"Indole","Bacteroidales.Rikenellaceae.unclassified",0.01636515,-0.256021274,0.262631131,0.356835776
"Indole","Clostridiales.Ruminococcaceae.Anaerotruncus",-0.002747001,0.217693246,0.343156927,0.427521089
"Indole","Bacteroidales.Porphyromonadaceae.Parabacteroides",-0.037470801,-0.120011414,0.604343307,0.680566787
"Indole","Clostridiales.Lachnospiraceae.unclassified",-0.046453234,-0.076612193,0.741347891,0.811677169
"Indole","Clostridiales.Lachnospiraceae.Coprococcus",-0.048871105,0.059769978,0.796902125,0.851391159
"Indole","Clostridiales.unclassified.unclassified",-0.049875917,0.051165208,0.825672635,0.87461932
"Indole","Clostridiales.Ruminococcaceae.Ruminococcus",-0.051585445,0.031525021,0.892095742,0.926692253
"Indole-3-acetaldehyde","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.207290454,0.496916423,0.021925329,0.070771764
"Indole-3-acetate","Clostridiales.Mogibacteriaceae.unclassified",0.448066741,-0.689683554,0.000541917,0.009677082
"Indole-3-acetate","Bacteroidales.S24.7.unclassified",0.35640966,0.623369214,0.002535081,0.019013108
"Indole-3-acetate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.288001352,-0.568859635,0.00712186,0.037093019
"Indoxyl","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.268167854,-0.552050235,0.009466439,0.043291641
"L-Formylkynurenine","Clostridiales.Mogibacteriaceae.unclassified",0.354627003,-0.622009367,0.002607199,0.019170584
"Serotonin","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.2362639,0.52388043,0.014786537,0.057759908
"Glycerol 3-phosphate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.029850808,0.279925468,0.219077522,0.311189662
"Ethanolamine phosphate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.372020167,0.635152862,0.001977241,0.017653936
"Choline","Clostridiales.Mogibacteriaceae.unclassified",0.397482985,0.653918065,0.001302898,0.015644508
"Choline","Bacteroidales.S24.7.unclassified",0.37661722,-0.638581521,0.001835839,0.017210987
"Choline","Clostridiales.Ruminococcaceae.unclassified",0.218109762,0.507153107,0.018947425,0.067373944
"Choline","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.204476207,0.494218977,0.022769141,0.070771764
"L-Carnitine","Clostridiales.Mogibacteriaceae.unclassified",0.203034623,-0.492831504,0.023213139,0.070771764
"L-Carnitine","Bacteroidales.S24.7.unclassified",0.201233124,0.491092117,0.023779463,0.070780857
"L-Carnitine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.163586903,-0.453219105,0.039080187,0.098709518
"L-Carnitine","Clostridiales.unclassified.unclassified",0.118767511,-0.403520924,0.069683351,0.143190466
"L-Carnitine","Clostridiales.Ruminococcaceae.Anaerotruncus",0.042672672,0.300897056,0.185033642,0.276444685
"L-Carnitine","Clostridiales.Lachnospiraceae.unclassified",-0.006481605,0.209385948,0.36233348,0.443577601
"L-Carnitine","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",-0.031176096,-0.142768023,0.53699768,0.612079423
"CAR 3:0","Bacteroidales.S24.7.unclassified",0.502090084,0.725937724,0.000195084,0.006650578
"CAR 3:0","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.294752513,-0.574469222,0.006455283,0.035598988
"CAR 3:0","Clostridiales.Ruminococcaceae.unclassified",0.207901983,-0.497500637,0.021745908,0.070771764
"CAR 4:0","Clostridiales.Mogibacteriaceae.unclassified",0.531108854,-0.74468343,0.000107911,0.005780942
"CAR 4:0","Bacteroidales.S24.7.unclassified",0.365579747,0.630317983,0.002192125,0.018286235
"CAR 4:0","Clostridiales.Ruminococcaceae.unclassified",0.18998869,-0.480092965,0.027620073,0.078270695
"CAR 4:0;O","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.45610265,0.695196028,0.000468304,0.009242847
"CAR 4:0;O","Bacteroidales.S24.7.unclassified",0.395538016,-0.652503728,0.001345803,0.015644508
"CAR 5:0","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.613015147,-0.795213424,1.65e-05,0.003086634
"CAR 5:0","Bacteroidales.S24.7.unclassified",0.512148624,0.732489722,0.000159482,0.006645078
"CAR 5:0;O","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.030989889,0.281851724,0.21578951,0.307684663
"CAR 6:0","Clostridiales.Mogibacteriaceae.unclassified",0.394007514,-0.651388623,0.001380468,0.015644508
"CAR 6:0","Clostridiales.Ruminococcaceae.unclassified",0.269711313,-0.553376678,0.009261061,0.042875281
"CAR 6:0","Bacteroidales.S24.7.unclassified",0.160645091,0.450125356,0.04060714,0.098881023
"CAR 6:1;O2","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.423320361,0.672424229,0.000839571,0.01259357
"CAR 8:0","Clostridiales.Ruminococcaceae.unclassified",0.180854473,-0.470968947,0.0311648,0.083477142
"CAR 8:0","Turicibacterales.Turicibacteraceae.Turicibacter",0.072635984,-0.344969831,0.125643883,0.203088174
"CAR 8:0","Bacteroidales.Porphyromonadaceae.Parabacteroides",-0.003820512,0.215338137,0.348531869,0.432779639
"CAR 8:1","Clostridiales.Ruminococcaceae.unclassified",0.641966611,-0.812322768,7.72e-06,0.002895184
"CAR 8:1","Clostridiales.Mogibacteriaceae.unclassified",0.160666846,-0.450148313,0.040595641,0.098881023
"CAR 8:1","Bacteroidales.S24.7.unclassified",0.102077235,0.383371065,0.086252182,0.160191876
"CAR 8:1","Clostridiales.Ruminococcaceae.Anaerotruncus",0.065253065,0.334649686,0.13812865,0.218557991
"CAR 8:1","Lactobacillales.Lactobacillaceae.Lactobacillus",-0.007546188,0.206956811,0.368055037,0.448118957
"CAR 8:1","Clostridiales.Lachnospiraceae.Coprococcus",-0.032982936,0.136624343,0.554832691,0.628586886
"CAR 8:1","Turicibacterales.Turicibacteraceae.Turicibacter",-0.045517465,0.082209536,0.723141426,0.797582455
"CAR 8:1","Clostridiales.Ruminococcaceae.Ruminococcus",-0.046782687,0.074541578,0.748117402,0.813744308
"CAR 10:0","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.124442293,0.410146532,0.064797658,0.13499512
"CAR 10:1","Clostridiales.Ruminococcaceae.unclassified",0.412339636,-0.664622189,0.001014099,0.014084714
"CAR 10:1","Bacteroidales.S24.7.unclassified",0.049280812,0.311153935,0.169770326,0.256755003
"CAR 10:1","Clostridiales.Lachnospiraceae.unclassified",0.032260235,-0.283984547,0.212187162,0.304674319
"CAR 10:1","Clostridiales.Lachnospiraceae.Coprococcus",0.019266093,0.261348022,0.25248297,0.346817267
"CAR 10:1","Clostridiales.Mogibacteriaceae.unclassified",0.017228479,-0.25761804,0.259562339,0.354763478
"CAR 10:1","Clostridiales.Ruminococcaceae.Anaerotruncus",0.003760853,0.23145801,0.312725357,0.399670146
"CAR 10:1","Turicibacterales.Turicibacteraceae.Turicibacter",-0.043840456,-0.091386906,0.693603271,0.767260256
"CAR 10:1","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",-0.051799896,0.028108701,0.9037337,0.933609194
"CAR 10:1","Lactobacillales.Lactobacillaceae.Lactobacillus",-0.051795328,0.028185791,0.903470867,0.933609194
"CAR 10:1","Bacteroidales.Rikenellaceae.unclassified",-0.052289459,0.018028141,0.938176126,0.950854182
"CAR 12:0","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.151463178,0.440329444,0.045749764,0.1085833
"CAR 12:1","Clostridiales.Ruminococcaceae.unclassified",0.237552123,-0.525047156,0.014526441,0.057341215
"CAR 14:0","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.170527962,0.460436276,0.035691969,0.091674579
"CAR 14:1","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.091476873,0.370004094,0.098749963,0.172344392
"CAR 16:0","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.187847526,0.477969821,0.028414944,0.078311377
"CAR 16:0","Bacteroidales.S24.7.unclassified",0.180239643,-0.470348446,0.031418285,0.083559269
"CAR 16:0","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.132643342,0.419536858,0.058323317,0.130182517
"CAR 16:1","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.105305409,0.38735015,0.08276917,0.157555527
"CAR 18:0","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.186687094,0.476815205,0.028854742,0.078409624
"CAR 18:1","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.173225033,0.463210299,0.034452624,0.089101613
"CAR 18:1","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.149434624,0.438135701,0.046967526,0.110772468
"Nonanoic acid ","Clostridiales.Mogibacteriaceae.unclassified",0.178084457,-0.468166887,0.032322398,0.084761533
"Nonanoic acid ","Clostridiales.unclassified.unclassified",0.09513297,-0.374668282,0.09424712,0.167634791
"Nonanoic acid ","Bacteroidales.S24.7.unclassified",0.072953259,0.345406422,0.12513417,0.203088174
"Nonanoic acid ","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.062185779,-0.330267301,0.143686963,0.226082454
"Nonanoic acid ","Clostridiales.Lachnospiraceae.unclassified.1",0.05910593,-0.325807664,0.14950305,0.232629227
"Nonanoic acid ","Lactobacillales.Lactobacillaceae.Lactobacillus",0.035784601,-0.289819549,0.202536549,0.297847867
"Nonanoic acid ","Clostridiales.Ruminococcaceae.Anaerotruncus",0.034563472,0.28781122,0.205824396,0.29845372
"Nonanoic acid ","Clostridiales.Ruminococcaceae.unclassified",0.017059446,-0.257306187,0.260159884,0.354763478
"Nonanoic acid ","Turicibacterales.Turicibacteraceae.Turicibacter",-0.004664242,0.213468898,0.35283269,0.435237693
"Nonanoic acid ","Clostridiales.Lachnospiraceae.unclassified",-0.028283781,-0.152086844,0.510462086,0.5853923
"Nonanoic acid ","Bacteroidales.Rikenellaceae.unclassified",-0.04918287,-0.057238739,0.805340902,0.857305471
"Nonanoic acid ","Clostridiales.Ruminococcaceae.Ruminococcus",-0.049949216,-0.050480145,0.827972957,0.87461932
"Decanoic acid ","Clostridiales.Mogibacteriaceae.unclassified",0.205479736,-0.495182541,0.022464799,0.070771764
"Dodecanoic acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.291607344,0.571862725,0.0067583,0.036205181
"Tetradecanoic acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.210897787,0.500352774,0.020886731,0.070771764
"Stearic acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.099036126,0.379584404,0.089666572,0.163227982
"Stearic acid","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.081318687,0.356725037,0.112431228,0.189065967
"Stearic acid","Clostridiales.Ruminococcaceae.unclassified",0.068309092,-0.338959639,0.132812299,0.211036492
"Myristoleic acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.103220691,0.384785209,0.085002117,0.159378969
"Hexadecenoic acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.005050243,0.234089152,0.307100553,0.395748135
"Oleic acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.272528732,0.555789794,0.008896783,0.041703671
"Linoleate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.111815181,0.395252352,0.076163871,0.151922615
"Arachidonic acid","Bacteroidales.S24.7.unclassified",0.369479123,-0.633249687,0.002059608,0.017961702
"Arachidonic acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.308845717,0.586006341,0.005245299,0.031725599
"Eicosapentaenoic acid","Bacteroidales.S24.7.unclassified",0.424558329,-0.67329816,0.000821718,0.01259357
"Eicosapentaenoic acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.306501276,0.584102912,0.005430845,0.032326459
"Docosahexaenoic acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.212466659,0.501839941,0.020449628,0.070771764
"Docosapentaenoic acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.261406837,0.546201881,0.010416884,0.044390133
"Cholic acid","Lactobacillales.Lactobacillaceae.Lactobacillus",0.134852266,0.422030393,0.056690039,0.128840997
"Cholic acid","Clostridiales.Ruminococcaceae.unclassified",0.130966569,-0.417634099,0.05959358,0.130687675
"Cholic acid","Turicibacterales.Turicibacteraceae.Turicibacter",0.111205533,0.394519019,0.076759674,0.152300941
"Cholic acid","Clostridiales.Mogibacteriaceae.unclassified",0.104792324,-0.386720451,0.083313276,0.157790296
"Cholic acid","Clostridiales.Lachnospiraceae.unclassified.1",0.060315868,-0.327566901,0.147189355,0.229983368
"Cholic acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",-0.021368634,0.172336293,0.455062379,0.529963951
"Cholic acid","Clostridiales.Ruminococcaceae.Ruminococcus",-0.046505779,-0.076285714,0.742414051,0.811677169
"Cholic acid","Clostridiales.Ruminococcaceae.Anaerotruncus",-0.052091411,0.022653027,0.922357386,0.942463269
"Taurocholate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.132183647,0.419016067,0.058668921,0.130182517
"Taurochenodeoxycholate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.109526904,0.392492751,0.078424066,0.154784341
"Deoxycholic acid","Clostridiales.Mogibacteriaceae.unclassified",0.37445394,-0.636970363,0.001901186,0.017388893
"Deoxycholic acid","Turicibacterales.Turicibacteraceae.Turicibacter",0.299771196,0.578604041,0.005997635,0.033858977
"Deoxycholic acid","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.155233675,-0.444378207,0.043566513,0.105402855
"Deoxycholic acid","Clostridiales.Ruminococcaceae.unclassified",0.102042879,-0.383328494,0.086290024,0.160191876
"13(S)-HODE","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.011162376,0.246179319,0.282052102,0.371145926
"9(S)-HODE","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.126548323,0.412578364,0.06307111,0.133625233
"Triacanthine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.118550764,0.403265701,0.069876948,0.143190466
"2-Methyleneglutarate","Clostridiales.Mogibacteriaceae.unclassified",0.310570595,-0.587402814,0.005112536,0.031429527
"2-Methyleneglutarate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.21044122,-0.499919152,0.021015576,0.070771764
"2-Methyleneglutarate","Clostridiales.Ruminococcaceae.unclassified",0.022232526,-0.26668502,0.242570538,0.338155955
"6-Lactoyltetrahydropterin","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.237904308,-0.525365675,0.014456081,0.057341215
"6-Lactoyltetrahydropterin","Clostridiales.Ruminococcaceae.unclassified",0.089405886,-0.367335803,0.101395786,0.173622921
"Leucocyanidin","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.028284706,0.277255244,0.223689817,0.315352185
"Methylenediurea","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.390553306,0.648864886,0.001461718,0.01566126
"Methylenediurea","Bacteroidales.S24.7.unclassified",0.361695486,-0.627384022,0.002331843,0.018286235
"Methylenediurea","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.289558905,0.570158714,0.006962664,0.036774633
"Methylenediurea","Clostridiales.Mogibacteriaceae.unclassified",0.27499433,0.557893013,0.008588939,0.041292976
"cis-p-Coumarate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.589986266,-0.781336645,2.89e-05,0.003618176
"N6-Methyl-L-lysine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.107192958,-0.38965794,0.080797652,0.156223694
"D-Glucono-1,5-lactone","Clostridiales.unclassified.unclassified",0.361458155,-0.627204311,0.002340638,0.018286235
"D-Glucono-1,5-lactone","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.334548895,-0.606482853,0.003560044,0.023839578
"D-Glucono-1,5-lactone","Clostridiales.Mogibacteriaceae.unclassified",0.241917861,-0.528982011,0.013676403,0.055427107
"D-Glucono-1,5-lactone","Clostridiales.Lachnospiraceae.Coprococcus",0.034900592,-0.288367062,0.204910884,0.29845372
"D-Glucono-1,5-lactone","Lactobacillales.Lactobacillaceae.Lactobacillus",0.007097222,0.238206551,0.298422844,0.388571412
"D-Glucono-1,5-lactone","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",-0.010565101,-0.199907864,0.384947799,0.46566266
"D-Glucono-1,5-lactone","Clostridiales.Ruminococcaceae.unclassified",-0.043464029,-0.093322948,0.687424568,0.764938317
"D-Glucono-1,5-lactone","Bacteroidales.Rikenellaceae.unclassified",-0.050843833,0.041211147,0.859222607,0.900023681
"Catechin","Bacteroidales.S24.7.unclassified",0.196841079,0.486825456,0.025215279,0.073872888
"Pyridoxamine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.477737656,-0.709824466,0.000312942,0.009027182
"N-Amidino-L-aspartate","Clostridiales.Ruminococcaceae.Ruminococcus",0.365252905,0.63007163,0.00220358,0.018286235
"N-Amidino-L-aspartate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.153578472,-0.44260541,0.044512309,0.10631921
"N-Amidino-L-aspartate","Clostridiales.Mogibacteriaceae.unclassified",0.008850372,-0.241677167,0.291226357,0.380522244
"N-Amidino-L-aspartate","Clostridiales.Ruminococcaceae.Anaerotruncus",-0.011077701,-0.198686144,0.3879192,0.466249039
"N-Acyl-D-glutamate","Bacteroidales.S24.7.unclassified",0.053972665,-0.318235812,0.159752104,0.245520652
"6-Carboxyhexanoate","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.223907622,0.512554622,0.01751231,0.064383494
"7,8-Dihydroxycoumarin","Clostridiales.Mogibacteriaceae.unclassified",0.303899839,-0.581983546,0.0056438,0.032560385
"7,8-Dihydroxycoumarin","Bacteroidales.S24.7.unclassified",0.20786297,0.497463387,0.021757313,0.070771764
"10-Hydroxydecanoic acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.275587168,0.558397537,0.008516407,0.041292976
"2-Oxo-7-methylthioheptanoic acid","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.383908574,-0.643982256,0.001630409,0.015997803
"2-Oxo-7-methylthioheptanoic acid","Clostridiales.Lachnospiraceae.unclassified.1",0.18832628,-0.478445363,0.028235357,0.078311377
"2-Oxo-7-methylthioheptanoic acid","Clostridiales.Mogibacteriaceae.unclassified",0.09653057,-0.376435973,0.092580695,0.166912311
"2-Oxo-7-methylthioheptanoic acid","Clostridiales.Ruminococcaceae.Ruminococcus",0.080256935,0.355308441,0.113967751,0.190794226
"2-Oxo-7-methylthioheptanoic acid","Bacteroidales.S24.7.unclassified",0.074897805,0.348070272,0.12205619,0.199873674
"2-Oxo-7-methylthioheptanoic acid","Bacteroidales.Rikenellaceae.unclassified",0.034450312,0.287624402,0.206132036,0.29845372
"2-Oxo-7-methylthioheptanoic acid","Clostridiales.Ruminococcaceae.unclassified",-0.002644258,-0.217917313,0.342648101,0.427521089
"2-Oxo-7-methylthioheptanoic acid","Clostridiales.Lachnospiraceae.Coprococcus",-0.027285123,0.155174524,0.501811164,0.579012881
"2-Oxo-7-methylthioheptanoic acid","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",-0.046807938,-0.074380503,0.748644763,0.813744308
"2-Oxo-7-methylthioheptanoic acid","Turicibacterales.Turicibacteraceae.Turicibacter",-0.05238116,0.015423927,0.947093701,0.954731554
"L-Homocitrulline","Bacteroidales.S24.7.unclassified",0.282102435,0.563912505,0.007755792,0.039303002
"L-Homocitrulline","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.279410289,-0.561640254,0.008062115,0.040310575
"Homomethionine","Coriobacteriales.Coriobacteriaceae.Adlercreutzia",0.319808234,0.594825875,0.00445268,0.028788876
"Homomethionine","Bacteroidales.S24.7.unclassified",0.299185334,-0.578122883,0.006049471,0.033858977
"Homomethionine","Bacteroidales.Porphyromonadaceae.Parabacteroides",0.262267952,0.54695023,0.010291092,0.044390133
"Indole-3-carbinol","Bacteroidales.Rikenellaceae.unclassified",0.135818075,0.423116026,0.055989959,0.128811256
"Indole-3-carbinol","Clostridiales.Mogibacteriaceae.unclassified",0.022902832,0.267876259,0.240392864,0.336370611
"Indole-3-carbinol","Bacteroidales.S24.7.unclassified",0.000122368,-0.223866588,0.329300495,0.415783454
"Indole-3-carbinol","Clostridiales.Ruminococcaceae.unclassified",-0.006633418,-0.209041271,0.363142196,0.443577601
